	200	1000	2000	20000
0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0
2	0.007587939698492465	0.022964824120603012	0.0271859296482412	0.02869346733668341
3	0.013467336683417088	0.040452261306532664	0.04532663316582914	0.04567839195979901
4	0.019798994974874376	0.050050251256281424	0.05713567839195981	0.06075376884422111
5	0.026331658291457272	0.05839195979899497	0.06336683417085423	0.0627638190954774
6	0.028492462311557804	0.06376884422110551	0.0658793969849246	0.06547738693467337
7	0.03331658291457287	0.062211055276381905	0.06788944723618089	0.06658291457286429
8	0.039296482412060296	0.06346733668341707	0.06376884422110553	0.06547738693467334
9	0.04216080402010048	0.059095477386934644	0.060804020100502496	0.05979899497487439
10	0.04412060301507537	0.058542713567839195	0.05723618090452261	0.05648241206030151
11	0.04849246231155778	0.05989949748743714	0.05326633165829144	0.05442211055276384
12	0.4216582914572864	0.06321608040201003	0.05100502512562817	0.048442211055276366
13	0.0477386934673367	0.05201005025125631	0.046432160804020094	0.04572864321608041
14	0.041909547738693445	0.04477386934673366	0.04462311557788946	0.041457286432160796
15	0.03592964824120602	0.04336683417085428	0.0371859296482412	0.03718592964824122
16	0.03100502512562813	0.03618090452261307	0.033115577889447245	0.036381909547738685
17	0.027336683417085426	0.03195979899497488	0.030502512562814076	0.02984924623115578
18	0.02301507537688442	0.02798994974874371	0.025979899497487417	0.025175879396984922
19	0.018442211055276384	0.024924623115577894	0.02050251256281407	0.02100502512562814
20	0.013366834170854276	0.021859296482412055	0.019597989949748748	0.01874371859296482
21	0.010753768844221103	0.017738693467336687	0.01864321608040201	0.01728643216080402
22	0.007286432160804029	0.015879396984924618	0.015577889447236173	0.014974874371859287
23	0.004974874371859297	0.01391959798994974	0.01291457286432161	0.013165829145728643
24	0.003366834170854272	0.010703517587939703	0.011206030150753766	0.010653266331658293
25	0.002462311557788943	0.010502512562814075	0.010452261306532666	0.009045226130653271
26	0.002462311557788943	0.007839195979899502	0.008542713567839198	0.009346733668341708
27	0.0017587939698492454	0.0071859296482412105	0.007236180904522619	0.00758793969849247
28	0.0007035175879396985	0.005427135678391962	0.005477386934673368	0.006834170854271362
29	0.0011557788944723613	0.004070351758793971	0.005577889447236183	0.006281407035175884
30	0.0004020100502512563	0.0033668341708542717	0.0056281407035175925	0.0054271356783919655
31	0.0002512562814070352	0.002814070351758793	0.0048241206030150766	0.004371859296482415
32	0.00035175879396984926	0.002914572864321607	0.0035678391959799004	0.003366834170854272
33	0.00020100502512562814	0.0019095477386934661	0.0029648241206030146	0.0030653266331658285
34	0.0001507537688442211	0.0020100502512562803	0.0021105527638190947	0.002814070351758793
35	0.0	0.0014070351758793962	0.0021105527638190943	0.002211055276381908
36	0.0	0.001608040201005024	0.002261306532663315	0.002211055276381908
37	5.0251256281407036e-05	0.0006030150753768845	0.0016080402010050243	0.0016080402010050243
38	0.00010050251256281407	0.0010050251256281404	0.0011557788944723615	0.0015577889447236173
39	5.0251256281407036e-05	0.0005025125628140704	0.0015075376884422103	0.0011055276381909543
40	0.0	0.0004020100502512563	0.0008040201005025125	0.0011055276381909543
41	0.0	0.00035175879396984926	0.0010050251256281404	0.0009045226130653264
42	0.0	0.0006532663316582915	0.0008040201005025125	0.0006532663316582915
43	0.0	0.0004020100502512563	0.00035175879396984926	0.0005527638190954774
44	5.0251256281407036e-05	0.00030150753768844223	0.0004020100502512563	0.00035175879396984926
45	0.0	0.00030150753768844223	0.00010050251256281407	0.0004522613065326633
46	0.0	0.00035175879396984926	0.0004020100502512563	0.00035175879396984926
47	0.0	0.00010050251256281407	0.0001507537688442211	0.0004522613065326633
48	0.0	5.0251256281407036e-05	0.0002512562814070352	0.0002512562814070352
49	0.0	5.0251256281407036e-05	0.0002512562814070352	0.00035175879396984926
50	0.0	5.0251256281407036e-05	0.0004522613065326633	0.0001507537688442211
51	0.0	0.0	0.00020100502512562814	0.00020100502512562814
52	0.0	0.0002512562814070352	5.0251256281407036e-05	0.0002512562814070352
53	0.0	0.0	0.00010050251256281407	5.0251256281407036e-05
54	0.0	0.0	0.00010050251256281407	0.0001507537688442211
55	0.0	0.0001507537688442211	5.0251256281407036e-05	0.00020100502512562814
56	0.0	0.0	0.0001507537688442211	0.0001507537688442211
57	0.0	0.0	0.0	0.0001507537688442211
58	0.0	0.0	5.0251256281407036e-05	0.00010050251256281407
59	0.0	0.0	5.0251256281407036e-05	5.0251256281407036e-05
60	0.0	0.0	0.0	0.0
61	0.0	0.0	0.0	0.0
62	0.0	0.0	0.0	0.0
63	0.0	0.0	5.0251256281407036e-05	0.0
64	0.0	0.0	0.0	0.0
65	0.0	0.0	0.0	0.0
66	0.0	0.0	0.0	0.0
67	0.0	0.0	0.0	0.0
68	0.0	0.0	0.0	0.00010050251256281407
69	0.0	0.0	5.0251256281407036e-05	0.0
70	0.0	0.0	0.0	0.0
71	0.0	0.0	0.0	0.0
72	0.0	5.0251256281407036e-05	0.0	0.0
73	0.0	0.0	0.0	0.0
74	0.0	0.0	0.0	0.0
75	0.0	0.0	0.0	0.0
76	0.0	0.0	0.0	0.0
77	0.0	0.0	0.0	0.0
78	0.0	0.0	0.0	0.0
79	0.0	0.0	0.0	0.0
80	0.0	0.0	0.0	0.0
81	0.0	0.0	0.0	0.0
82	0.0	0.0	0.0	0.0
83	0.0	0.0	0.0	0.0
84	0.0	0.0	0.0	0.0
85	0.0	0.0	0.0	0.0
86	0.0	0.0	0.0	0.0
87	0.0	0.0	0.0	0.0
88	0.0	0.0	0.0	0.0
89	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0	0.0
91	0.0	0.0	0.0	0.0
92	0.0	0.0	0.0	0.0
93	0.0	0.0	0.0	0.0
94	0.0	0.0	0.0	0.0
95	0.0	0.0	0.0	0.0
96	0.0	0.0	0.0	0.0
97	0.0	0.0	0.0	0.0
98	0.0	0.0	0.0	0.0
99	0.0	0.0	0.0	0.0
100	0.0	0.0	0.0	0.0
101	0.0	0.0	0.0	0.0
102	0.0	0.0	0.0	0.0
103	0.0	0.0	0.0	0.0
104	0.0	0.0	0.0	0.0
105	0.0	0.0	0.0	0.0
106	0.0	0.0	0.0	0.0
107	0.0	0.0	0.0	0.0
108	0.0	0.0	0.0	0.0
109	0.0	0.0	0.0	0.0
